milestone,cohort,label,level,count,example
CHAPTER_THREE,DEFAULT,Facilitation,5,2,Serves as a positive role model for productive conflict
CHAPTER_THREE,DEFAULT,Facilitation,5,3,"Encourages productive and respectful task-related conflict, using it to facilitate change"
CHAPTER_THREE,DEFAULT,Facilitation,5,4,"Resolves complex organizational dysfunction, or persistent conflict at senior levels	"
CHAPTER_THREE,DEFAULT,Facilitation,5,5,
CHAPTER_THREE,DEFAULT,Facilitation,5,6,
CHAPTER_FOUR,DEFAULT,Motivation,1,1,Generates commitment in individuals and the team
CHAPTER_FOUR,DEFAULT,Motivation,1,2,Speaks positively and enthusiastically about the organization's products/services and future direction
CHAPTER_FOUR,DEFAULT,Motivation,1,3,
CHAPTER_FOUR,DEFAULT,Motivation,1,4,
CHAPTER_FOUR,DEFAULT,Motivation,1,5,
CHAPTER_FOUR,DEFAULT,Motivation,1,6,
CHAPTER_FOUR,DEFAULT,Motivation,2,1,Creates a fun and energetic environment that promotes creativity
CHAPTER_FOUR,DEFAULT,Motivation,2,2,Validates ongoing work and sustains motivation
CHAPTER_FOUR,DEFAULT,Motivation,2,3,"Establishes challenging, yet realistic, performance goals that tap into people's interests"
CHAPTER_FOUR,DEFAULT,Motivation,2,4,
CHAPTER_FOUR,DEFAULT,Motivation,2,5,
CHAPTER_FOUR,DEFAULT,Motivation,2,6,
CHAPTER_FOUR,DEFAULT,Motivation,3,1,"Recognizes individual and team performance, even when things go wrong"
CHAPTER_FOUR,DEFAULT,Motivation,3,2,Empowers a team to drive forward amidst uncertainty
CHAPTER_FOUR,DEFAULT,Motivation,3,3,Models excellence and enthusiasm for the work
CHAPTER_FOUR,DEFAULT,Motivation,3,4,
CHAPTER_FOUR,DEFAULT,Motivation,3,5,
CHAPTER_FOUR,DEFAULT,Motivation,3,6,
CHAPTER_FOUR,DEFAULT,Motivation,4,1,"Empowers the project team and individuals. Expresses positive expectations of others regarding their abilities or potentials, even in challenging cases. Believes others want to and can learn"
CHAPTER_FOUR,DEFAULT,Motivation,4,2,Ensures that the self-realization and practical needs of the project team are met
CHAPTER_FOUR,DEFAULT,Motivation,4,3,
CHAPTER_FOUR,DEFAULT,Motivation,4,4,
CHAPTER_FOUR,DEFAULT,Motivation,4,5,
CHAPTER_FOUR,DEFAULT,Motivation,4,6,
CHAPTER_FOUR,DEFAULT,Motivation,5,1,Demonstrates the ability to use others as a sounding board for generating ideas and plans; acknowledges their expertise or perspective when asking for their opinions
CHAPTER_FOUR,DEFAULT,Motivation,5,2,Ability to find and use successes to celebrate progress towards the vision
CHAPTER_FOUR,DEFAULT,Motivation,5,3,Sets clear goals and a desired future state that is compelling and realistic for stakeholders
CHAPTER_FOUR,DEFAULT,Motivation,5,4,
CHAPTER_FOUR,DEFAULT,Motivation,5,5,
CHAPTER_FOUR,DEFAULT,Motivation,5,6,
PLANNING,DEFAULT,Plan and Coordination,1,1,"Commits to and completes tasks within expected time frame, holding themselves accountable"
PLANNING,DEFAULT,Plan and Coordination,1,2,Delivers tightly-scoped projects efficiently
PLANNING,DEFAULT,Plan and Coordination,1,3,Is learning how to break down tasks and accurately estimate tasks
PLANNING,DEFAULT,Plan and Coordination,1,4,
PLANNING,DEFAULT,Plan and Coordination,1,5,
PLANNING,DEFAULT,Plan and Coordination,1,6,
PLANNING,DEFAULT,Plan and Coordination,2,1,"Is mastering the ability to break down tasks, plan, estimate, and cut scope in order to deliver on time"
PLANNING,DEFAULT,Plan and Coordination,2,2,Researches and considers alternative approaches
PLANNING,DEFAULT,Plan and Coordination,2,3,Defines and hits interim milestones
PLANNING,DEFAULT,Plan and Coordination,2,4,Prioritizes in alignment with company goals
PLANNING,DEFAULT,Plan and Coordination,2,5,Consistently and accurately estimates the time a given task will take
PLANNING,DEFAULT,Plan and Coordination,2,6,
PLANNING,DEFAULT,Plan and Coordination,3,1,"Can smoothly and successfully execute an initiative, set milestones for a team, and proactively ensure all core goals are hit, even if plans need to be changed to do so"
PLANNING,DEFAULT,Plan and Coordination,3,2,Integrates business needs into project planning
PLANNING,DEFAULT,Plan and Coordination,3,3,Chooses appropriate project management strategy based on context
PLANNING,DEFAULT,Plan and Coordination,3,4,Demonstrates the ability to prioritize the most important work for the company/team
PLANNING,DEFAULT,Plan and Coordination,3,5,Delegates tasks to others appropriately
PLANNING,DEFAULT,Plan and Coordination,3,6,"When working on a series of related projects or an initiative, is constantly aware of the bigger picture and what they're going to be delivering in the next few projects"
PLANNING,DEFAULT,Plan and Coordination,4,1,"Can successfully plan and execute projects involving multiple stakeholders and complex requirements, prioritizing strategically"
PLANNING,DEFAULT,Plan and Coordination,4,2,Manages dependencies on other projects and teams
PLANNING,DEFAULT,Plan and Coordination,4,3,Leverages recognition of repeated project patterns
PLANNING,DEFAULT,Plan and Coordination,4,4,Reduces complexity and prioritizes the most important work for the company
PLANNING,DEFAULT,Plan and Coordination,4,5,Helps define roadmaps and set vision for long-term projects
PLANNING,DEFAULT,Plan and Coordination,4,6,"Often ""sees around corners"" and addresses issues before they become critical"
PLANNING,DEFAULT,Plan and Coordination,5,1,"Plans and executes large, complex projects with interdependencies across teams and systems"
PLANNING,DEFAULT,Plan and Coordination,5,2,"Leads teams of teams, and coordinates effective cross-functional collaboration"
PLANNING,DEFAULT,Plan and Coordination,5,3,"Considers external constraints, opportunities, and business objectives when planning"
PLANNING,DEFAULT,Plan and Coordination,5,4,Can successfully manage (and adjust/update plans for) large efforts that start out with unclear or competing goals
PLANNING,DEFAULT,Plan and Coordination,5,5,Creates plans that define the direction of the whole team moving forward
PLANNING,DEFAULT,Plan and Coordination,5,6,Demonstrates the ability to deal with any project or initiative that is critical to the future of the company
COLLABORATION,DEFAULT,Communication and Collaboration,1,1,Communicates project status clearly and effectively
COLLABORATION,DEFAULT,Communication and Collaboration,1,2,Is learning to work collaboratively on a team and communicate in meetings
COLLABORATION,DEFAULT,Communication and Collaboration,1,3,Proactively asks questions and reaches out for help to get unblocked
COLLABORATION,DEFAULT,Communication and Collaboration,1,4,"Voices concerns or need for clarification to their project teams and, if necessary, discipline leaders or POD members"
COLLABORATION,DEFAULT,Communication and Collaboration,1,5,Is developing the ability to communicate complicated concepts simply and successfully to a non-technical audience
COLLABORATION,DEFAULT,Communication and Collaboration,1,6,Accepts feedback graciously and learns from experience
COLLABORATION,DEFAULT,Communication and Collaboration,2,1,"Communicates clearly at team and client-facing meetings, escalating blockers quickly, clarifying requirements, and sharing assumptions"
COLLABORATION,DEFAULT,Communication and Collaboration,2,2,Collaborates professionally with teammates and peers
COLLABORATION,DEFAULT,Communication and Collaboration,2,3,"Adapts their message for a diverse audience, choosing appropriate tools and approach for accurate and timely communication"
COLLABORATION,DEFAULT,Communication and Collaboration,2,4,"Seeks feedback to improve and receives it well. Gives timely, helpful feedback to peers"
COLLABORATION,DEFAULT,Communication and Collaboration,2,5,Makes effective presentations to smaller audiences
COLLABORATION,DEFAULT,Communication and Collaboration,2,6,
COLLABORATION,DEFAULT,Communication and Collaboration,3,1,"Communicates technical issues and decisions clearly and proactively to a cross-functional audience, sharing bad news quickly as well"
COLLABORATION,DEFAULT,Communication and Collaboration,3,2,"Builds cross-functional relationships with project team, chapter members, and clients"
COLLABORATION,DEFAULT,Communication and Collaboration,3,3,"Engages in productive dialog even when there are conflicting views, both inside and outside the team. Seeks to understand other points of viewue"
COLLABORATION,DEFAULT,Communication and Collaboration,3,4,Mastering ability to communicate complicated concepts simply and successfully to ensure understanding and appropriate action. Makes effective presentations to larger audiences
COLLABORATION,DEFAULT,Communication and Collaboration,3,5,
COLLABORATION,DEFAULT,Communication and Collaboration,3,6,
COLLABORATION,DEFAULT,Communication and Collaboration,4,1,Communicates complex concepts and issues and easily makes compelling presentations to sophisticated audiences
COLLABORATION,DEFAULT,Communication and Collaboration,4,2,Works with key stakeholders effectively to solve problems and make decisions
COLLABORATION,DEFAULT,Communication and Collaboration,4,3,"Demonstrates the ability to always share status with all stakeholders, and proactively remedy communication issues"
COLLABORATION,DEFAULT,Communication and Collaboration,4,4,Holds others and themselves accountable for their commitments and results by receiving and giving feedback
COLLABORATION,DEFAULT,Communication and Collaboration,4,5,Spurs and facilitates meaningful discussion around complex issues
COLLABORATION,DEFAULT,Communication and Collaboration,4,6,Offers insightful perspectives
COLLABORATION,DEFAULT,Communication and Collaboration,5,1,Comfortably communicates and presents complex issues to diverse audiences inside and outside the company
COLLABORATION,DEFAULT,Communication and Collaboration,5,2,"Coordinates communication among teams and stakeholders, including the right people at the right times"
COLLABORATION,DEFAULT,Communication and Collaboration,5,3,"Is relied upon as one of the best communicators of complicated subjects, trade-offs, and decisions"
COLLABORATION,DEFAULT,Communication and Collaboration,5,4,Holds others and themselves accountable for their commitments and results by providing thoughtful feedback and openly receiving feedback
COLLABORATION,DEFAULT,Communication and Collaboration,5,5,Clearly communicates company-level objectives and how they relate to experiments and initiatives
COLLABORATION,DEFAULT,Communication and Collaboration,5,6,Proactively identifies and remedies communication gaps and issues
CLIENT_VALUE,DEFAULT,Client Value,1,1,Delivers consistently good outcomes within project scope and following quality standards
CLIENT_VALUE,DEFAULT,Client Value,1,2,Understands how tasks impact and fit within the broader scope and objectives of the final product or service
CLIENT_VALUE,DEFAULT,Client Value,1,3,Shows a willingness to do what it takes to achieve the desired results
CLIENT_VALUE,DEFAULT,Client Value,1,4,Writes clear comments and documentation
CLIENT_VALUE,DEFAULT,Client Value,1,5,
CLIENT_VALUE,DEFAULT,Client Value,1,6,
CLIENT_VALUE,DEFAULT,Client Value,2,1,Works efficiently and puts in the time and effort necessary to deliver great outcomes
CLIENT_VALUE,DEFAULT,Client Value,2,2,Realizes when progress toward desired results is stalling and takes action to get back on track
CLIENT_VALUE,DEFAULT,Client Value,2,3,Accepts difficult tasks and gets right to work
CLIENT_VALUE,DEFAULT,Client Value,2,4,Devotes time to find the most effective ways to meet the commitments
CLIENT_VALUE,DEFAULT,Client Value,2,5,Is focused on producing high-quality work
CLIENT_VALUE,DEFAULT,Client Value,2,6,
CLIENT_VALUE,DEFAULT,Client Value,3,1,Helps others identify the desired results of their assignments
CLIENT_VALUE,DEFAULT,Client Value,3,2,Gives thoughtful feedback as a domain expert
CLIENT_VALUE,DEFAULT,Client Value,3,3,"Helps others focus on achieving results, supporting them when facing problems and issues"
CLIENT_VALUE,DEFAULT,Client Value,3,4,"Holds others accountable for their commitments, results, and successful client outcomes"
CLIENT_VALUE,DEFAULT,Client Value,3,5,Required for eligibility to be a Project Owner
CLIENT_VALUE,DEFAULT,Client Value,3,6,Required eligibility to be a Consultant
CLIENT_VALUE,DEFAULT,Client Value,4,1,Helps others maximize their potential through mentoring and coaching
CLIENT_VALUE,DEFAULT,Client Value,4,2,Focuses on high-level client relationships and satisfaction
CLIENT_VALUE,DEFAULT,Client Value,4,3,"Anticipates unusual issues and problems, taking steps to minimize their impacts on results"
CLIENT_VALUE,DEFAULT,Client Value,4,4,Holds institutional knowledge
CLIENT_VALUE,DEFAULT,Client Value,4,5,Required eligibility to be a Project Advocate
CLIENT_VALUE,DEFAULT,Client Value,4,6,Required eligibility to be a Service Line Lead
CLIENT_VALUE,DEFAULT,Client Value,5,1,Defines policies for the organization that encourage quality work and maximize client value
CLIENT_VALUE,DEFAULT,Client Value,5,2,Identifies and eliminates single points of failure throughout the organization
CLIENT_VALUE,DEFAULT,Client Value,5,3,Secures time and resources from executive leadership to support great quality
CLIENT_VALUE,DEFAULT,Client Value,5,4,Connects clients to strategic and technical solutions for complex business challenges
CLIENT_VALUE,DEFAULT,Client Value,5,5,
CLIENT_VALUE,DEFAULT,Client Value,5,6,
INITIATIVE,DEFAULT,Initiative,1,1,
INITIATIVE,DEFAULT,Initiative,1,2,"Is becoming comfortable owning small tasks independently, but typically relies on more experienced teammates when tackling larger issues"
INITIATIVE,DEFAULT,Initiative,1,3,Typically relies on senior teammates to set project goals and break down larger projects into discrete tasks
INITIATIVE,DEFAULT,Initiative,1,4,Asks leadership team probing questions
INITIATIVE,DEFAULT,Initiative,1,5,
INITIATIVE,DEFAULT,Initiative,1,6,
INITIATIVE,DEFAULT,Initiative,2,1,"Regularly leads smaller projects or tasks, but relies on experienced teammates when working on major project investments"
INITIATIVE,DEFAULT,Initiative,2,2,Often leans on others to help problem-solve project ambiguity
INITIATIVE,DEFAULT,Initiative,2,3,Proactively takes on executable tasks when blocked elsewhere. Seek help to get unblocked
INITIATIVE,DEFAULT,Initiative,2,4,Often relies on others to help cut scope when necessary
INITIATIVE,DEFAULT,Initiative,2,5,Consistently delivers on reasonably well-defined projects
INITIATIVE,DEFAULT,Initiative,2,6,Is becoming more comfortable defining project goals for more ambiguous projects
INITIATIVE,DEFAULT,Initiative,3,1,"Regularly leads multiplee, large projects or initiatives"
INITIATIVE,DEFAULT,Initiative,3,2,Takes ownership of tasks that nobody owns or wants
INITIATIVE,DEFAULT,Initiative,3,3,Seeks out others involved in a situation to learn their perspectives
INITIATIVE,DEFAULT,Initiative,3,4,Leaves things better than when they found them
INITIATIVE,DEFAULT,Initiative,3,5,Is comfortable with ambiguity and can be relied on to remove blockers when necessary
INITIATIVE,DEFAULT,Initiative,3,6,Demonstrates the ability to handle major tasks from definition through execution with consistently successful outcomes
INITIATIVE,DEFAULT,Initiative,4,1,Develops and tests new ways to solve systemic issues
INITIATIVE,DEFAULT,Initiative,4,2,Exemplifies grit and determination in the face of persistent obstacles
INITIATIVE,DEFAULT,Initiative,4,3,Instigates major new company-wide initiatives
INITIATIVE,DEFAULT,Initiative,4,4,Seeks creative and innovative ways to improve and develop what they are doing
INITIATIVE,DEFAULT,Initiative,4,5,Can effectively cope with change
INITIATIVE,DEFAULT,Initiative,4,6,
INITIATIVE,DEFAULT,Initiative,5,1,Champions and pioneers new approaches and ideas to solve new classes of problems
INITIATIVE,DEFAULT,Initiative,5,2,Galvanizes the entire company and garners buy-in for new strategies
INITIATIVE,DEFAULT,Initiative,5,3,Improves complex organizational processes
INITIATIVE,DEFAULT,Initiative,5,4,Embraces ambiguity and a growth mindset
INITIATIVE,DEFAULT,Initiative,5,5,
INITIATIVE,DEFAULT,Initiative,5,6,
COMPLEXITY,DEFAULT,Maturity,1,1,Is learning how to integrate complicated information to identify strategies and solutions with the assistance of teammates and senior colleagues
COMPLEXITY,DEFAULT,Maturity,1,2,Breaks down complicated problems or concepts into clear and manageable components
COMPLEXITY,DEFAULT,Maturity,1,3,Effectively deals with and understands opposing views and is open to learning from feedback
COMPLEXITY,DEFAULT,Maturity,1,4,
COMPLEXITY,DEFAULT,Maturity,1,5,
COMPLEXITY,DEFAULT,Maturity,1,6,
COMPLEXITY,DEFAULT,Maturity,2,1,Quickly integrates complicated information to identify strategies and solutions with the assistance of teammates and senior colleagues
COMPLEXITY,DEFAULT,Maturity,2,2,Demonstrates keen insights into situations
COMPLEXITY,DEFAULT,Maturity,2,3,Assimilates large amounts of information
COMPLEXITY,DEFAULT,Maturity,2,4,Responds flexibly and strategically to ongoing change
COMPLEXITY,DEFAULT,Maturity,2,5,
COMPLEXITY,DEFAULT,Maturity,2,6,
COMPLEXITY,DEFAULT,Maturity,3,1,Identifies and deals with complicated situations to provide the best solutions
COMPLEXITY,DEFAULT,Maturity,3,2,Demonstrates a sense of agency
COMPLEXITY,DEFAULT,Maturity,3,3,Adopts a proactive approach instead of a reactive one
COMPLEXITY,DEFAULT,Maturity,3,4,Demonstrates critical inquiry
COMPLEXITY,DEFAULT,Maturity,3,5,Promotes exploration and experimentation as a response to uncertainty
COMPLEXITY,DEFAULT,Maturity,3,6,
COMPLEXITY,DEFAULT,Maturity,4,1,"Seeks to cultivate innovation in the face of uncertainty, both internally and externally"
COMPLEXITY,DEFAULT,Maturity,4,2,Offers new perspectives to overcome complexity constraints
COMPLEXITY,DEFAULT,Maturity,4,3,Selects systems thinking approaches to fit with the level of complexity and the nature of the environment
COMPLEXITY,DEFAULT,Maturity,4,4,Focuses on the core message or desired result of a complex plan or idea
COMPLEXITY,DEFAULT,Maturity,4,5,Deals with change in an open and collaborative way to facilitate a beneficial resolution
COMPLEXITY,DEFAULT,Maturity,4,6,"Simplifies complexities by pulling together ideas, issues, and observations into a single concept or a clear presentation"
COMPLEXITY,DEFAULT,Maturity,5,1,Builds the capacity in other people to cope with complexity
COMPLEXITY,DEFAULT,Maturity,5,2,Leads others through change
COMPLEXITY,DEFAULT,Maturity,5,3,Has a holistic vision 
COMPLEXITY,DEFAULT,Maturity,5,4,Creates an organizational framework that facilitates a positive work environment
COMPLEXITY,DEFAULT,Maturity,5,5,"Helps others to move through the change curve, from resistors to adopters"
COMPLEXITY,DEFAULT,Maturity,5,6,Has engergy and engergizes those around them
MATURITY,DEFAULT,Complexity,1,1,"Learns and exhibits Palantir core values: collaboration, bringing out the best in each other, curiosity, thinking ahead, and accessibility"
MATURITY,DEFAULT,Complexity,1,2,Treats colleagues and clients with respect
MATURITY,DEFAULT,Complexity,1,3,Objectively evaluates whether they've met their goals
MATURITY,DEFAULT,Complexity,1,4,Takes responsibility for their own words and actions
MATURITY,DEFAULT,Complexity,1,5,
MATURITY,DEFAULT,Complexity,1,6,
MATURITY,DEFAULT,Complexity,2,1,Brings their best self to work and makes space for others to do so as well
MATURITY,DEFAULT,Complexity,2,2,"Trusts teammates, assumes good intent, and is able to disagree and commit"
MATURITY,DEFAULT,Complexity,2,3,Finds ways to ramp up and engage new hires quickly
MATURITY,DEFAULT,Complexity,2,4,Is able to deliver their work despite inevitable distractions
MATURITY,DEFAULT,Complexity,2,5,Exhibits a growth mindset with regard to feedback
MATURITY,DEFAULT,Complexity,2,6,
MATURITY,DEFAULT,Complexity,3,1,Is aware of their own strengths and weaknesses
MATURITY,DEFAULT,Complexity,3,2,Embraces big challenges as opportunities for growth and learning
MATURITY,DEFAULT,Complexity,3,3,Uses their position to raise difficult issues on behalf of others
MATURITY,DEFAULT,Complexity,3,4,"Allows everyone the opportunity to contribute, regardless of their title or how many years they've been with the company"
MATURITY,DEFAULT,Complexity,3,5,Is able to change direction quickly based on shifting company and project needs
MATURITY,DEFAULT,Complexity,3,6,Demonstrates humility and patience
MATURITY,DEFAULT,Complexity,4,1,"Goes above and beyond, serving the team without complaint"
MATURITY,DEFAULT,Complexity,4,2,Implements concrete actions to significantly improve team inclusivity
MATURITY,DEFAULT,Complexity,4,3,Builds consensus for decisions
MATURITY,DEFAULT,Complexity,4,4,Devotes significant time to helping outside of direct responsibilities
MATURITY,DEFAULT,Complexity,4,5,Helps individuals maintain resilience in periods of change
MATURITY,DEFAULT,Complexity,4,6,
MATURITY,DEFAULT,Complexity,5,1,Demonstrates the ability to de-escalate conflicts and build consensus between team members about technical matters
MATURITY,DEFAULT,Complexity,5,2,"Holds individuals, teams, and leadership accountable to Palantir's values"
MATURITY,DEFAULT,Complexity,5,3,"Sets the tone, policy, and goals around maintaining an open, diverse, and inclusive company"
MATURITY,DEFAULT,Complexity,5,4,Models maturity and cultivates similar development in others
MATURITY,DEFAULT,Complexity,5,5,
MATURITY,DEFAULT,Complexity,5,6,
LEARNING,DEFAULT,Learning and Career Development,1,1,Shares career and professional development options and areas of interest informally
LEARNING,DEFAULT,Learning and Career Development,1,2,Shares opportunities for improvements and recognizes achievements for themselves and others
LEARNING,DEFAULT,Learning and Career Development,1,3,Collects and delivers feedback
LEARNING,DEFAULT,Learning and Career Development,1,4,
LEARNING,DEFAULT,Learning and Career Development,1,5,
LEARNING,DEFAULT,Learning and Career Development,1,6,
LEARNING,DEFAULT,Learning and Career Development,2,1,Helps a group member have an appropriate role on the team
LEARNING,DEFAULT,Learning and Career Development,2,2,"Offers effective career advice to group members, without being prescriptive"
LEARNING,DEFAULT,Learning and Career Development,2,3,Creates space for people to talk through challenges
LEARNING,DEFAULT,Learning and Career Development,2,4,Provides help on how to have difficult conversations
LEARNING,DEFAULT,Learning and Career Development,2,5,Works closely with another to help them learn new skills or continue to improve skills
LEARNING,DEFAULT,Learning and Career Development,2,6,
LEARNING,DEFAULT,Learning and Career Development,3,1,Discusses career paths and helps create plans for others' personal and professional growth
LEARNING,DEFAULT,Learning and Career Development,3,2,Advocates for aligning people with appropriate roles within organization
LEARNING,DEFAULT,Learning and Career Development,3,3,Works with POD leads to elevate emerging leaders
LEARNING,DEFAULT,Learning and Career Development,3,4,May participate in the hiring process meeting with candidates and offering thoughts to the discipline/hiring lead
LEARNING,DEFAULT,Learning and Career Development,3,5,Promotes and exhibits psychological safety
LEARNING,DEFAULT,Learning and Career Development,3,6,
LEARNING,DEFAULT,Learning and Career Development,4,1,"Promotes and exhibits psychological safety, facilitation, and collaboration"
